fish_id,test_name,l_thresh,r_thresh,l_rat,r_rat
1,sd,3.1,3.0,14.0,14.0
1,wd,2.9,2.2,12.0,15.0
1,gd,2.2,2.6,14.0,14.0
1,td,2.8,2.3,6.0,6.0
2,sd,0.9,1.7,5.666666666666667,18.0
2,wd,1.4,2.6,25.0,24.0
2,gd,1.4,2.1,10.0,24.0
2,td,1.3,2.3,9.0,18.0
3,sd,2.0,1.9,18.0,9.0
3,wd,1.4,1.5,24.0,16.0
3,gd,1.2,1.1,21.0,19.0
3,td,1.0,1.1,16.0,15.0
4,sd,1.4,3.3,7.5,15.0
4,wd,1.3,2.5,10.0,20.0
4,gd,1.6,2.8,8.5,17.0
4,td,2.3,3.9,13.0,14.0
5,sd,1.9,1.3,10.0,8.0
5,td,1.3,0.9,13.0,16.0
5,wd,1.6,1.1,19.0,18.0
5,gd,3.3,1.2,15.0,9.0
