time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t2.00,right_eye_delta_sac_t1.90,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.001,1615.660144329071,-13.84099292755127,28.75428771972656,-0.7376551628112793,30,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.0519,1615.7414660453796,-13.5518159866333,28.620574951171875,0.0,0,0,5,240,240,0.2,0.28917694091796875,-0.13371276855468395,0.28917694091796875,0.13371276855468395,0.0,0.0,False,False,False,False,0,0
0.1024,1615.8204061985016,-13.47486400604248,28.69639587402344,0.0,0,0,5,240,240,0.2,0.07695198059082031,0.07582092285156605,0.07695198059082031,0.07582092285156605,0.0,0.0,False,False,False,False,0,0
0.2055,1615.899981021881,-13.717992782592772,28.7098388671875,0.0,0,0,5,240,240,0.2,-0.2431287765502912,0.013442993164058947,0.2431287765502912,0.013442993164058947,0.0,0.0,False,False,False,False,0,0
0.305,1615.9809386730194,-13.456316947937012,28.750152587890625,0.0,0,0,5,240,240,0.2,0.26167583465575994,0.040313720703125,0.26167583465575994,0.040313720703125,0.0,0.0,False,False,False,False,0,0
0.3555,1616.0595343112946,-13.703786849975586,28.77899169921875,0.0,0,0,5,240,240,0.2,-0.24746990203857422,0.028839111328125,0.24746990203857422,0.028839111328125,0.0,0.0,False,False,False,False,0,0
0.4061,1616.140566110611,-13.584707260131836,28.78118896484375,0.0,0,0,5,240,240,0.2,0.11907958984375,0.002197265625,0.11907958984375,0.002197265625,0.0,0.0,False,False,False,False,0,0
0.5068,1616.2200827598572,-13.722543716430664,28.596176147460938,0.0,0,0,5,240,240,0.2,-0.13783645629882812,-0.1850128173828125,0.13783645629882812,0.1850128173828125,0.0,0.0,False,False,False,False,0,0
0.6074,1616.300573348999,-13.47681999206543,28.33465576171875,0.0,0,0,5,240,240,0.2,0.24572372436523438,-0.2615203857421875,0.24572372436523438,0.2615203857421875,0.0,0.0,False,False,False,False,0,0
0.708,1616.379977226257,-14.033984184265137,28.52496337890625,0.0,0,0,5,240,240,0.2,-0.557164192199707,0.1903076171875,0.557164192199707,0.1903076171875,0.0,0.0,False,False,False,False,0,0
0.7581,1616.4611172676086,-13.50339412689209,28.55845642089844,0.0,0,0,5,240,240,0.2,0.5305900573730469,0.03349304199219105,0.5305900573730469,0.03349304199219105,0.0,0.0,False,False,False,False,0,0
0.8585,1616.54101896286,-13.637163162231444,28.700241088867188,0.0,0,0,5,240,240,0.2,-0.1337690353393537,0.14178466796874645,0.1337690353393537,0.14178466796874645,0.0,0.0,False,False,False,False,0,0
0.9086,1616.6212017536163,-13.7880277633667,28.64637756347656,0.0,0,0,5,240,240,0.2,-0.15086460113525568,-0.05386352539062855,0.15086460113525568,0.05386352539062855,0.0,0.0,False,False,False,False,0,0
1.0095,1616.700368642807,-13.404383659362791,28.552474975585938,0.0,0,0,5,240,240,0.2,0.383644104003908,-0.09390258789062145,0.383644104003908,0.09390258789062145,0.0,0.0,False,False,False,False,0,0
1.1104,1616.780443429947,-13.44062042236328,28.651412963867188,0.0,0,0,5,240,240,0.2,-0.03623676300048828,0.09893798828125,0.03623676300048828,0.09893798828125,0.0,0.0,False,False,False,False,0,0
1.1608,1616.8608536720276,-13.81080436706543,28.29267883300781,0.0,0,0,5,240,240,0.2,-0.3701839447021502,-0.35873413085937855,0.3701839447021502,0.35873413085937855,0.0,0.0,False,False,False,False,0,0
1.2614,1616.9407136440277,-13.331186294555664,28.344512939453125,0.0,0,0,5,240,240,0.2,0.4796180725097656,0.05183410644531605,0.4796180725097656,0.05183410644531605,0.0,0.0,False,False,False,False,0,0
1.3119,1617.020381450653,-13.809794425964355,28.54237365722656,0.0,0,0,5,240,240,0.2,-0.4786081314086914,0.19786071777343395,0.4786081314086914,0.19786071777343395,0.0,0.0,False,False,False,False,0,0
1.4124,1617.101467370987,-13.499226570129396,28.457550048828125,0.0,0,0,5,240,240,0.2,0.31056785583495916,-0.08482360839843395,0.31056785583495916,0.08482360839843395,0.0,0.0,False,False,False,False,0,0
1.4627,1617.180485010147,-13.33696174621582,28.471588134765625,0.0,0,0,5,240,240,0.2,0.162264823913576,0.0140380859375,0.162264823913576,0.0140380859375,0.0,0.0,False,False,False,False,0,0
1.5629,1617.2613196372986,-13.628949165344238,28.36030578613281,0.0,0,0,5,240,240,0.2,-0.29198741912841797,-0.11128234863281605,0.29198741912841797,0.11128234863281605,0.0,0.0,False,False,False,False,0,0
1.6637,1617.340812444687,-13.838994026184082,28.571319580078125,0.0,0,0,5,240,240,0.2,-0.21004486083984375,0.21101379394531605,0.21004486083984375,0.21101379394531605,0.0,0.0,False,False,False,False,0,0
1.7139,1617.4211621284485,-13.537023544311523,28.189376831054688,0.0,0,0,5,240,240,0.2,0.3019704818725586,-0.3819427490234375,0.3019704818725586,0.3819427490234375,0.0,0.0,False,False,False,False,0,0
1.8145,1617.5009081363678,-13.528746604919434,28.44300842285156,0.0,0,0,5,240,240,0.2,0.008276939392089844,0.25363159179687145,0.008276939392089844,0.25363159179687145,0.0,0.0,False,False,False,False,0,0
1.865,1617.5815019607544,-13.35654354095459,28.387008666992188,0.0,0,0,5,240,240,0.2,0.17220306396484375,-0.05599975585937145,0.17220306396484375,0.05599975585937145,0.0,0.0,False,False,False,False,0,0
1.9654,1617.661072254181,-13.476847648620604,28.431396484375,0.0,0,0,5,240,240,0.2,-0.12030410766601385,0.0443878173828125,0.12030410766601385,0.0443878173828125,0.0,0.0,False,False,False,False,0,0
2.066,1617.7414598464966,-13.223140716552734,28.34947204589844,0.0,0,0,5,240,240,0.2,0.2537069320678693,-0.08192443847655895,0.2537069320678693,0.08192443847655895,0.0,0.0,False,False,False,False,0,0
2.1165,1617.8214795589447,-13.496503829956056,28.56578063964844,0.0,0,0,5,240,240,0.2,-0.2733631134033221,0.21630859375,0.2733631134033221,0.21630859375,0.0,0.0,False,False,False,False,0,0
2.2169,1617.9018383026123,-13.479558944702148,28.559356689453125,0.0,0,0,5,240,240,0.2,0.016944885253908026,-0.006423950195316053,0.016944885253908026,0.006423950195316053,0.0,0.0,False,False,False,False,0,0
2.267,1617.981528520584,-13.264270782470703,28.414779663085938,0.0,0,0,5,240,240,0.2,0.2152881622314453,-0.1445770263671875,0.2152881622314453,0.1445770263671875,0.0,0.0,False,False,False,False,0,0
2.3671,1618.0611379146576,-13.639995574951172,28.0557861328125,0.0,0,0,5,240,240,0.2,-0.37572479248046875,-0.3589935302734375,0.37572479248046875,0.3589935302734375,0.0,0.0,False,False,False,False,0,0
