time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t1.20,right_eye_delta_sac_t1.10,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.0,1869.0911741256716,-13.654732704162598,33.12232971191406,-0.9038829803466796,30,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.0506,1869.170456647873,-13.977372169494627,32.98002624511719,0.0,30,0,5,240,240,0.2,-0.3226394653320295,-0.142303466796875,0.3226394653320295,0.142303466796875,0.0,0.0,False,False,False,False,0,0
0.1032,1869.2514550685885,-13.80225944519043,33.31657409667969,0.0,30,0,0,240,240,0.2,0.17511272430419744,0.3365478515625,0.17511272430419744,0.3365478515625,0.0,0.0,False,False,False,False,0,0
0.2049,1869.3307857513428,-14.072897911071776,32.939117431640625,0.0,30,0,0,240,240,0.2,-0.2706384658813459,-0.3774566650390625,0.2706384658813459,0.3774566650390625,0.0,0.0,False,False,False,False,0,0
0.3062,1869.4111258983608,-13.755135536193848,32.88554382324219,0.0,30,0,0,240,240,0.2,0.3177623748779279,-0.0535736083984375,0.3177623748779279,0.0535736083984375,0.0,0.0,False,False,False,False,0,0
0.3565,1869.4904563426967,-13.698060989379885,32.84217834472656,0.0,30,0,0,240,240,0.2,0.05707454681396307,-0.043365478515625,0.05707454681396307,0.043365478515625,0.0,0.0,False,False,False,False,0,0
0.457,1869.5713710784912,-13.432653427124023,32.54864501953125,0.0,30,0,0,240,240,0.2,0.26540756225586115,-0.2935333251953125,0.26540756225586115,0.2935333251953125,0.0,0.0,False,False,False,False,0,0
0.5075,1869.6507942676544,-13.429015159606934,32.697296142578125,0.0,30,0,0,240,240,0.2,0.0036382675170898438,0.148651123046875,0.0036382675170898438,0.148651123046875,0.0,0.0,False,False,False,False,0,0
0.6081,1869.730978488922,-13.556690216064451,32.89253234863281,0.0,30,0,0,240,240,0.2,-0.12767505645751775,0.1952362060546875,0.12767505645751775,0.1952362060546875,0.0,0.0,False,False,False,False,0,0
0.7085,1869.811692237854,-13.56787109375,32.95263671875,0.0,30,0,0,240,240,0.2,-0.011180877685548651,0.0601043701171875,0.011180877685548651,0.0601043701171875,0.0,0.0,False,False,False,False,0,0
0.7587,1869.8914403915403,-13.671102523803713,32.64207458496094,0.0,30,0,0,240,240,0.2,-0.10323143005371271,-0.3105621337890625,0.10323143005371271,0.3105621337890625,0.0,0.0,False,False,False,False,0,0
0.8593,1869.9714558124545,-13.30921745300293,32.124847412109375,0.0,30,0,0,240,240,0.2,0.361885070800783,-0.5172271728515625,0.361885070800783,0.5172271728515625,0.0,0.0,False,False,False,False,0,0
0.9097,1870.051532268524,-13.536212921142578,32.692474365234375,0.0,30,0,0,240,240,0.2,-0.22699546813964844,0.567626953125,0.22699546813964844,0.567626953125,0.0,0.0,False,False,False,False,0,0
1.0101,1870.1310982704165,-13.156578063964844,32.4925537109375,0.0,30,0,0,240,240,0.2,0.3796348571777344,-0.199920654296875,0.3796348571777344,0.199920654296875,0.0,0.0,False,False,False,False,0,0
1.1109,1870.2112703323364,-13.37466526031494,32.0281982421875,0.0,30,0,0,240,240,0.2,-0.21808719635009588,-0.46435546875,0.21808719635009588,0.46435546875,0.0,0.0,False,False,False,False,0,0
1.1613,1870.291123867035,-13.50416374206543,32.03160095214844,0.0,30,0,0,240,240,0.2,-0.12949848175049006,0.0034027099609375,0.12949848175049006,0.0034027099609375,0.0,0.0,False,False,False,False,0,0
1.2618,1870.3717074394224,-13.630800247192385,31.981475830078125,0.0,30,0,0,240,240,0.2,-0.1266365051269549,-0.0501251220703125,0.1266365051269549,0.0501251220703125,0.0,0.0,False,False,False,False,0,0
1.3121,1870.4512057304385,-13.153672218322754,31.802322387695312,0.0,30,0,0,240,240,0.2,0.4771280288696307,-0.1791534423828125,0.4771280288696307,0.1791534423828125,0.0,0.0,False,False,False,False,0,0
1.4126,1870.5319256782527,-13.340455055236816,31.99835205078125,0.0,30,0,0,240,240,0.2,-0.1867828369140625,0.1960296630859375,0.1867828369140625,0.1960296630859375,0.0,0.0,False,False,False,False,0,0
1.5134,1870.611674785614,-13.286210060119627,32.18231201171875,0.0,30,0,0,240,240,0.2,0.054244995117189276,0.1839599609375,0.054244995117189276,0.1839599609375,0.0,0.0,False,False,False,False,0,0
1.5635,1870.691865682602,-13.127902030944824,31.796951293945312,0.0,30,0,0,240,240,0.2,0.1583080291748029,-0.3853607177734375,0.1583080291748029,0.3853607177734375,0.0,0.0,False,False,False,False,0,0
1.6641,1870.7719631195068,-13.340455055236816,31.93414306640625,0.0,30,0,0,240,240,0.2,-0.2125530242919922,0.1371917724609375,0.2125530242919922,0.1371917724609375,0.0,0.0,False,False,False,False,0,0
