time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t1.30,right_eye_delta_sac_t2.50,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.001,2585.1966581344604,-19.98081398010254,17.323638916015625,-6.316514015197754,30,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.0539,2585.276432037353,-20.205427169799805,17.234039306640625,0.0,30,0,5,240,240,0.0,-0.22461318969726562,-0.089599609375,0.22461318969726562,0.089599609375,0.0,0.0,False,False,False,False,0,0
0.1548,2585.3570458889008,-20.498748779296875,17.36865234375,0.0,30,0,5,240,240,0.0,-0.2933216094970703,0.134613037109375,0.2933216094970703,0.134613037109375,0.0,0.0,False,False,False,False,0,0
0.2564,2585.4362392425537,-20.17580223083496,17.280105590820312,0.0,30,0,5,240,240,0.0,0.32294654846191406,-0.0885467529296875,0.32294654846191406,0.0885467529296875,0.0,0.0,False,False,False,False,0,0
0.3068,2585.517354249954,-20.065574645996094,17.265274047851562,0.0,30,0,5,240,240,0.0,0.11022758483886719,-0.01483154296875,0.11022758483886719,0.01483154296875,0.0,0.0,False,False,False,False,0,0
0.4075,2585.59659075737,-20.14896583557129,17.095382690429688,0.0,30,0,5,240,240,0.0,-0.08339118957519531,-0.169891357421875,0.08339118957519531,0.169891357421875,0.0,0.0,False,False,False,False,0,0
0.4581,2585.6770493984222,-19.970823287963867,17.109161376953125,0.0,30,0,5,240,240,0.0,0.17814254760742188,0.0137786865234375,0.17814254760742188,0.0137786865234375,0.0,0.0,False,False,False,False,0,0
0.5585,2585.7571547031403,-20.0240421295166,17.34033203125,0.0,30,0,5,240,240,0.0,-0.053218841552734375,0.231170654296875,0.053218841552734375,0.231170654296875,0.0,0.0,False,False,False,False,0,0
0.6593,2585.837178468704,-19.914894104003903,17.124404907226562,0.0,30,0,5,240,240,0.0,0.10914802551269887,-0.2159271240234375,0.10914802551269887,0.2159271240234375,0.0,0.0,False,False,False,False,0,0
0.7096,2585.917479991913,-20.081518173217773,17.314407348632812,0.0,30,0,5,240,240,0.0,-0.16662406921387074,0.19000244140625,0.16662406921387074,0.19000244140625,0.0,0.0,False,False,False,False,0,0
0.81,2585.9975633621216,-20.16865921020508,17.298492431640625,0.0,30,0,5,240,240,0.0,-0.08714103698730824,-0.0159149169921875,0.08714103698730824,0.0159149169921875,0.0,0.0,False,False,False,False,0,0
0.9104,2586.0777292251587,-20.34224319458008,17.300094604492188,0.0,30,0,5,240,240,0.0,-0.173583984375,0.0016021728515625,0.173583984375,0.0016021728515625,0.0,0.0,False,False,False,False,0,0
0.9605,2586.1571128368378,-20.0373649597168,17.276473999023438,0.0,30,0,5,240,240,0.0,0.30487823486328125,-0.02362060546875,0.30487823486328125,0.02362060546875,0.0,0.0,False,False,False,False,0,0
1.061,2586.2368862628937,-19.939298629760746,17.473678588867188,0.0,30,0,5,240,240,0.0,0.09806632995605469,0.19720458984375,0.09806632995605469,0.19720458984375,0.0,0.0,False,False,False,False,0,0
1.1113,2586.317372083664,-20.08950424194336,17.637039184570312,0.0,30,0,5,240,240,0.0,-0.15020561218261363,0.163360595703125,0.15020561218261363,0.163360595703125,0.0,0.0,False,False,False,False,0,0
1.2121,2586.3972198963165,-20.16236114501953,17.383087158203125,0.0,30,0,5,240,240,0.0,-0.07285690307617188,-0.2539520263671875,0.07285690307617188,0.2539520263671875,0.0,0.0,False,False,False,False,0,0
1.3128,2586.4777703285217,-20.305139541625977,17.765777587890625,0.0,30,0,5,240,240,0.0,-0.1427783966064453,0.3826904296875,0.1427783966064453,0.3826904296875,0.0,0.0,False,False,False,False,0,0
1.3631,2586.5571115016937,-20.24092102050781,17.503082275390625,0.0,30,0,5,240,240,0.0,0.06421852111816762,-0.2626953125,0.06421852111816762,0.2626953125,0.0,0.0,False,False,False,False,0,0
1.4635,2586.6378514766693,-20.16670036315918,17.187973022460938,0.0,30,0,5,240,240,0.0,0.07422065734862926,-0.3151092529296875,0.07422065734862926,0.3151092529296875,0.0,0.0,False,False,False,False,0,0
1.5136,2586.717615365982,-20.637704849243164,17.237472534179688,0.0,30,0,5,240,240,0.0,-0.4710044860839844,0.04949951171875,0.4710044860839844,0.04949951171875,0.0,0.0,False,False,False,False,0,0
1.6142,2586.7977843284607,-20.25287437438965,17.343505859375,0.0,30,0,5,240,240,0.0,0.3848304748535156,0.1060333251953125,0.3848304748535156,0.1060333251953125,0.0,0.0,False,False,False,False,0,0
1.6643,2586.8784646987915,-20.100595474243164,17.445327758789062,0.0,30,0,5,240,240,0.0,0.15227890014648438,0.1018218994140625,0.15227890014648438,0.1018218994140625,0.0,0.0,False,False,False,False,0,0
1.7652,2586.9579243659973,-20.23676300048828,17.339401245117188,0.0,30,0,5,240,240,0.0,-0.1361675262451172,-0.105926513671875,0.1361675262451172,0.105926513671875,0.0,0.0,False,False,False,False,0,0
1.8656,2587.0378708839417,-20.085601806640625,17.43353271484375,0.0,30,0,5,240,240,0.0,0.15116119384765625,0.0941314697265625,0.15116119384765625,0.0941314697265625,0.0,0.0,False,False,False,False,0,0
1.9158,2587.118399620056,-20.11610412597656,17.18670654296875,0.0,30,0,5,240,240,0.0,-0.030502319335933947,-0.246826171875,0.030502319335933947,0.246826171875,0.0,0.0,False,False,False,False,0,0
2.0167,2587.198341369629,-20.183853149414062,17.1595458984375,0.0,30,0,5,240,240,0.0,-0.06774902343750355,-0.02716064453125,0.06774902343750355,0.02716064453125,0.0,0.0,False,False,False,False,0,0
2.0668,2587.277902364731,-20.03858757019043,17.752700805664062,0.0,30,0,5,240,240,0.0,0.1452655792236328,0.5931549072265625,0.1452655792236328,0.5931549072265625,0.0,0.0,False,False,False,False,0,0
2.1679,2587.3585002422333,-20.252281188964844,17.579940795898438,0.0,30,0,5,240,240,0.0,-0.21369361877441406,-0.172760009765625,0.21369361877441406,0.172760009765625,0.0,0.0,False,False,False,False,0,0
2.2683,2587.4380972385406,-19.99936866760254,17.7386474609375,0.0,30,0,5,240,240,0.0,0.2529125213623047,0.1587066650390625,0.2529125213623047,0.1587066650390625,0.0,0.0,False,False,False,False,0,0
2.3184,2587.5180926322937,-20.17828369140625,17.645965576171875,0.0,30,0,5,240,240,0.0,-0.17891502380371094,-0.092681884765625,0.17891502380371094,0.092681884765625,0.0,0.0,False,False,False,False,0,0
2.4189,2587.5981492996216,-20.36197662353516,17.512039184570312,0.0,30,0,5,240,240,0.0,-0.1836929321289098,-0.1339263916015625,0.1836929321289098,0.1339263916015625,0.0,0.0,False,False,False,False,0,0
2.4694,2587.6784484386444,-20.519508361816406,17.744338989257812,0.0,30,0,5,240,240,0.0,-0.15753173828124645,0.2322998046875,0.15753173828124645,0.2322998046875,0.0,0.0,False,False,False,False,0,0
2.5702,2587.758107662201,-20.208410263061523,17.803436279296875,0.0,30,0,5,240,240,0.0,0.3110980987548828,0.0590972900390625,0.3110980987548828,0.0590972900390625,0.0,0.0,False,False,False,False,0,0
2.6204,2587.838459968567,-20.309398651123047,17.514938354492188,0.0,30,0,5,240,240,0.0,-0.10098838806152344,-0.2884979248046875,0.10098838806152344,0.2884979248046875,0.0,0.0,False,False,False,False,0,0
2.7212,2587.9184317588806,-20.557090759277344,17.600555419921875,0.0,30,0,5,240,240,0.0,-0.24769210815429688,0.0856170654296875,0.24769210815429688,0.0856170654296875,0.0,0.0,False,False,False,False,0,0
2.8219,2587.9984123706818,-20.04351043701172,17.570327758789062,0.0,30,0,5,240,240,0.0,0.513580322265625,-0.0302276611328125,0.513580322265625,0.0302276611328125,0.0,0.0,False,False,False,False,0,0
2.8723,2588.0788502693176,-20.22299194335937,17.594268798828125,0.0,30,0,5,240,240,0.0,-0.1794815063476527,0.0239410400390625,0.1794815063476527,0.0239410400390625,0.0,0.0,False,False,False,False,0,0
2.9733,2588.157868385315,-20.65351104736328,17.53411865234375,0.0,30,0,5,240,240,0.0,-0.4305191040039098,-0.060150146484375,0.4305191040039098,0.060150146484375,0.0,0.0,False,False,False,False,0,0
3.0238,2588.238204479217,-20.334348678588867,17.71014404296875,0.0,30,0,5,240,240,0.0,0.31916236877441406,0.176025390625,0.31916236877441406,0.176025390625,0.0,0.0,False,False,False,False,0,0
3.1247,2588.3183555603027,-20.225730895996094,17.829299926757812,0.0,30,0,5,240,240,0.0,0.10861778259277344,0.1191558837890625,0.10861778259277344,0.1191558837890625,0.0,0.0,False,False,False,False,0,0
3.1752,2588.398772239685,-20.213308334350582,17.75927734375,0.0,30,0,5,240,240,0.0,0.012422561645511365,-0.0700225830078125,0.012422561645511365,0.0700225830078125,0.0,0.0,False,False,False,False,0,0
3.2759,2588.4790980815887,-20.03058624267578,17.663009643554688,0.0,30,0,5,240,240,0.0,0.18272209167480113,-0.0962677001953125,0.18272209167480113,0.0962677001953125,0.0,0.0,False,False,False,False,0,0
3.3763,2588.558779478073,-20.166418075561523,17.832199096679688,0.0,30,0,5,240,240,0.0,-0.1358318328857422,0.169189453125,0.1358318328857422,0.169189453125,0.0,0.0,False,False,False,False,0,0
3.4267,2588.6384580135345,-20.868032455444336,15.451095581054688,0.0,30,0,5,240,240,0.0,-0.7016143798828125,-2.381103515625,0.7016143798828125,2.381103515625,0.0,0.0,False,False,False,False,0,0
3.5273,2588.718415498733,-21.891372680664062,12.747589111328123,0.0,30,0,5,240,240,0.0,-1.0233402252197266,-2.7035064697265643,1.0233402252197266,2.7035064697265643,0.0,-2.7035064697265643,False,True,False,False,0,0
3.5778,2588.798852920532,-22.313800811767575,11.575790405273438,0.0,30,0,5,240,240,0.0,-0.4224281311035121,-1.1717987060546857,0.4224281311035121,1.1717987060546857,0.0,0.0,False,False,False,False,0,0
3.6785,2588.879145383835,-22.55370712280273,11.07244873046875,0.0,30,0,5,240,240,0.0,-0.23990631103515625,-0.5033416748046875,0.23990631103515625,0.5033416748046875,0.0,0.0,False,False,False,False,0,0
3.7287,2588.9592440128326,-22.36474227905273,11.037460327148438,0.0,30,0,5,240,240,0.0,0.18896484375,-0.0349884033203125,0.18896484375,0.0349884033203125,0.0,0.0,False,False,False,False,0,0
3.8795,2589.0387468338013,-22.269258499145508,11.355804443359377,0.0,30,0,5,240,240,0.0,0.09548377990722301,0.3183441162109393,0.09548377990722301,0.3183441162109393,0.0,0.0,False,False,False,False,0,0
3.9299,2589.1190435886383,-22.19242286682129,11.1766357421875,0.0,30,0,5,240,240,0.0,0.07683563232421875,-0.17916870117187678,0.07683563232421875,0.17916870117187678,0.0,0.0,False,False,False,False,0,0
4.0305,2589.1991028785706,-22.43373107910156,11.634796142578123,0.0,30,0,5,240,240,0.0,-0.24130821228026988,0.4581604003906232,0.24130821228026988,0.4581604003906232,0.0,0.0,False,False,False,False,0,0
4.0808,2589.279004096985,-21.821033477783203,10.90399169921875,0.0,30,0,5,240,240,0.0,0.6126976013183558,-0.7308044433593732,0.6126976013183558,0.7308044433593732,0.0,0.0,False,False,False,False,0,0
4.1818,2589.359329223633,-22.074621200561523,11.288421630859377,0.0,30,0,5,240,240,0.0,-0.2535877227783203,0.3844299316406268,0.2535877227783203,0.3844299316406268,0.0,0.0,False,False,False,False,0,0
4.2319,2589.439235687256,-21.958473205566406,11.419021606445312,0.0,30,0,5,240,240,0.0,0.11614799499511719,0.13059997558593572,0.11614799499511719,0.13059997558593572,0.0,0.0,False,False,False,False,0,0
4.3327,2589.5189044475555,-22.32045555114746,11.477691650390623,0.0,30,0,5,240,240,0.0,-0.3619823455810547,0.058670043945310724,0.3619823455810547,0.058670043945310724,0.0,0.0,False,False,False,False,0,0
4.4337,2589.5997684001923,-21.88688087463379,11.480209350585938,0.0,30,0,5,240,240,0.0,0.4335746765136719,0.0025177001953142764,0.4335746765136719,0.0025177001953142764,0.0,0.0,False,False,False,False,0,0
4.484,2589.680111646652,-21.8481502532959,11.70172119140625,0.0,30,0,5,240,240,0.0,0.038730621337890625,0.2215118408203125,0.038730621337890625,0.2215118408203125,0.0,0.0,False,False,False,False,0,0
4.5844,2589.7594242095947,-21.78017807006836,11.446121215820312,0.0,30,0,5,240,240,0.0,0.06797218322753906,-0.2555999755859375,0.06797218322753906,0.2555999755859375,0.0,0.0,False,False,False,False,0,0
