time,cam_time,left_eye,right_eye,g_angle,g_omega,g_direction,gratings,g_radius,g_thickness,g_width,left_eye_delta,right_eye_delta,abs_delta_left,abs_delta_right,left_eye_delta_sac_t1.30,right_eye_delta_sac_t0.90,l_sac_bool,r_sac_bool,l_agreement,r_agreement,time_bin,time_bin_s
0.001,3748.929484605789,-20.986228942871094,23.989578247070312,-0.7269787788391113,30,0,5,240,240,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,0,0
0.0538,3749.009539365768,-21.22184181213379,24.24212646484375,0.0,30,0,5,240,0,0.2,-0.2356128692626953,0.2525482177734375,0.2356128692626953,0.2525482177734375,0.0,0.0,False,False,False,False,0,0
0.1544,3749.08943772316,-21.38924789428711,23.795089721679688,0.0,30,0,5,240,0,0.2,-0.1674060821533203,-0.4470367431640625,0.1674060821533203,0.4470367431640625,0.0,0.0,False,False,False,False,0,0
0.2056,3749.16916680336,-21.07012939453125,24.33837890625,0.0,30,0,5,240,0,0.2,0.3191184997558594,0.5432891845703125,0.3191184997558594,0.5432891845703125,0.0,0.0,False,False,False,False,0,0
0.3065,3749.2497069835663,-21.602283477783203,24.061019897460938,0.0,30,0,5,240,0,0.2,-0.5321540832519531,-0.2773590087890625,0.5321540832519531,0.2773590087890625,0.0,0.0,False,False,False,False,0,0
0.3568,3749.329104423523,-21.16254997253418,24.29701232910156,0.0,30,0,5,240,0,0.2,0.43973350524902344,0.23599243164062145,0.43973350524902344,0.23599243164062145,0.0,0.0,False,False,False,False,0,0
0.4577,3749.4090371131897,-21.271841049194336,24.21943664550781,0.0,30,0,5,240,0,0.2,-0.10929107666015625,-0.07757568359375,0.10929107666015625,0.07757568359375,0.0,0.0,False,False,False,False,0,0
0.5079,3749.489357471466,-21.595645904541016,24.360519409179688,0.0,30,0,5,240,0,0.2,-0.3238048553466797,0.14108276367187855,0.3238048553466797,0.14108276367187855,0.0,0.0,False,False,False,False,0,0
0.6084,3749.56941652298,-21.818681716918945,24.286376953125,0.0,30,0,5,240,0,0.2,-0.2230358123779297,-0.0741424560546875,0.2230358123779297,0.0741424560546875,0.0,0.0,False,False,False,False,0,0
0.7091,3749.64941740036,-21.500717163085938,23.954559326171875,0.0,30,0,5,240,0,0.2,0.3179645538330078,-0.331817626953125,0.3179645538330078,0.331817626953125,0.0,0.0,False,False,False,False,0,0
0.7597,3749.729516267777,-21.78237533569336,24.15864562988281,0.0,30,0,5,240,0,0.2,-0.2816581726074219,0.20408630371093395,0.2816581726074219,0.20408630371093395,0.0,0.0,False,False,False,False,0,0
0.86,3749.809548377991,-21.617280960083008,23.959228515625,0.0,30,0,5,240,0,0.2,0.16509437561035156,-0.19941711425780895,0.16509437561035156,0.19941711425780895,0.0,0.0,False,False,False,False,0,0
0.9104,3749.8898487091055,-21.13406181335449,24.29707336425781,0.0,30,0,5,240,0,0.2,0.4832191467285192,0.33784484863280895,0.4832191467285192,0.33784484863280895,0.0,0.0,False,False,False,False,0,0
1.011,3749.969643831253,-21.00607681274414,24.0841064453125,0.0,30,0,5,240,0,0.2,0.127985000610348,-0.21296691894530895,0.127985000610348,0.21296691894530895,0.0,0.0,False,False,False,False,0,0
1.1118,3750.049762487412,-21.52238273620605,24.33213806152344,0.0,30,0,5,240,0,0.2,-0.5163059234619105,0.24803161621094105,0.5163059234619105,0.24803161621094105,0.0,0.0,False,False,False,False,0,0
